place_id,business_name,phone,address,city,website,google_rating,google_review_count,business_status,apollo_matched,employee_count,founded_year,linkedin_url,contact_name,contact_title,contact_email,score_web_opportunity,score_size_opportunity,opportunity_score,source,date_scraped
ChIJ31Q7e48IR4YROaNRgoMyIRs,Lucas Roofing & Sheetmetal Inc,(936) 291-3434,"Huntsville, TX 77340, USA",,,5,2,OPERATIONAL,False,,,,,,,55,0.0,33.0,google_places,2026-08-28
ChIJR4zr-CZdP4YRGevQJOg9DcA,Rios Construction & Roofing,(281) 383-3388,"6117 TX-146, Baytown, TX 77523, USA",,,4.3,28,OPERATIONAL,False,,,,,,,55,0.0,33.0,google_places,2026-08-28
ChIJRwXQZ9lNP4YRm3HXwl9Hn3k,"Elite Roofing - Roofing Cleaning, Residential Metal Roof Repair & Roofing Service in Dayton, TX",(936) 226-8531,"404 Flowers St, Dayton, TX 77535, USA",,,5,1,OPERATIONAL,False,,,,,,,55,0.0,33.0,google_places,2026-08-28
ChIJAQDwDL2YQIYRMtYS7E5ay5Y,Calderon Roofing and Remodeling Inc,(281) 487-6183,"2537 Pansy St, Pasadena, TX 77503, USA",,,5,5,OPERATIONAL,False,,,,,,,55,0.0,33.0,google_places,2026-08-28
ChIJo79Ap1QVxAoR3o4NJhe_m_E,Diamond Roofing & Construction LLC,(936) 256-5476,"271 County Rd 6023, Dayton, TX 77535, USA",,,5,14,OPERATIONAL,False,,,,,,,48,0.0,28.8,google_places,2026-08-28
ChIJV6YmdnjMrG4RdqtbjI0GOoM,AZ Roofing & Painting,(832) 573-8954,"4143 Knollwick Ct, Houston, TX 77053, USA",,,5,13,OPERATIONAL,False,,,,,,,48,0.0,28.8,google_places,2026-08-28
ChIJ7e09DnoJR4YRDTJRpJgE4s0,Lion's Construction,(936) 650-9859,"316 US-190, Huntsville, TX 77340, USA",,,5,89,OPERATIONAL,False,,,,,,,43,0.0,25.8,google_places,2026-08-28
ChIJD6j4huZFP4YRIjJf9Wcz_S0,Pitch Perfect Roofing & Remodeling,(281) 678-2136,"16043 Eagle Dr #1994, Mont Belvieu, TX 77523, USA",,,5,39,OPERATIONAL,False,,,,,,,43,0.0,25.8,google_places,2026-08-28
ChIJS1gx9zubQIYRkxCko3MnlnU,Perry Brothers Roof Repair,(936) 536-7100,"10857 Scarsdale Blvd, Houston, TX 77089, USA",,,4.9,81,OPERATIONAL,False,,,,,,,43,0.0,25.8,google_places,2026-08-28
ChIJl4n92JOfQIYR35gPGSnnbBA,Williams Brothers Roofing & Construction,(936) 310-4303,"3500 Center St, Deer Park, TX 77536, USA",,,4.9,86,OPERATIONAL,False,,,,,,,43,0.0,25.8,google_places,2026-08-28
